#{"t_start": 1763633712.5493202, "env_id": "None"}
r,l,t
-1.144064,50,169.107415
-2.408361,50,169.620618
-0.820863,50,170.093363
-7.406053,50,170.645974
-3.196064,50,171.236381
-0.620762,50,171.764894
-1.077227,50,172.231253
-1.32888,50,172.693507
-2.660087,50,173.172976
-6.10528,50,173.664907
-4.074584,50,174.170466
-3.023138,50,174.694042
-1.051982,50,175.165562
-3.341247,50,175.653527
-5.321892,50,176.125037
-4.097336,50,176.59242
-4.63531,50,177.078644
-0.712453,50,177.519396
-1.443963,50,177.98521
-2.496873,50,178.485426
-3.236583,50,179.080638
-1.325818,50,179.523173
-3.555835,50,179.9836
-4.278003,50,180.48409
-5.853141,50,180.983466
-2.689115,50,181.483164
-0.727134,50,181.983495
-3.057871,50,182.485207
-4.669199,50,182.983634
-3.319903,50,183.483859
-1.016104,50,183.983471
-1.108168,50,184.488178
-5.432368,50,185.013204
-2.755114,50,185.585013
-1.106824,50,186.101329
-2.197666,50,186.651038
-2.438455,50,187.09187
-2.493349,50,187.540853
-1.13794,50,187.983099
-3.236815,50,188.487579
-1.759943,50,188.985481
-0.119255,50,189.506433
-2.004106,50,189.984905
-0.582805,50,190.490852
-4.537898,50,191.004402
-6.777443,50,191.549635
-4.818977,50,192.02984
-0.21863,50,192.499181
-2.197361,50,192.991734
-0.19677,50,193.483688
-0.827062,50,193.983867
-2.587082,50,194.485207
-1.146257,50,194.988466
-4.57524,50,195.486418
-0.484653,50,196.00239
-4.430817,50,196.548895
-1.954677,50,197.054643
-1.541939,50,197.523209
-0.954197,50,198.007866
-3.276192,50,198.493431
-2.685841,50,199.005446
-1.407839,50,199.63058
-1.608377,50,200.122541
-1.803724,50,200.61271
-1.93026,50,201.083247
-6.494787,50,201.654432
-3.358148,50,202.131829
-3.173053,50,202.599672
-3.958051,50,203.057118
-1.483037,50,203.515807
-3.21201,50,203.983509
-4.977994,50,204.556162
-1.121745,50,205.011793
-6.269071,50,205.484429
-3.75763,50,205.994383
-0.806017,50,206.483873
-0.736559,50,206.991183
-0.946615,50,207.508911
-5.350594,50,208.029614
-2.461363,50,208.523936
-2.517636,50,209.006684
-2.128031,50,209.499719
-1.384377,50,210.076895
-2.465523,50,210.484227
-4.556912,50,210.983252
-0.807974,50,211.484215
-4.050563,50,211.983605
-2.575361,50,212.48359
-2.300727,50,212.98374
-7.560295,50,213.483374
-3.896983,50,213.98356
-0.53412,50,214.483524
-3.179948,50,214.983976
-2.696882,50,215.484257
-0.328928,50,215.983877
-5.878299,50,216.483367
-4.235715,50,216.984231
-1.581367,50,217.483501
-5.788588,50,217.983469
-3.634575,50,218.484016
-0.878927,50,218.983737
-1.872723,50,219.483448
-1.88594,50,219.983627
-3.873501,50,220.483194
-1.890329,50,220.983457
-1.969546,50,221.483646
-0.597299,50,221.983167
-3.047492,50,222.483222
-6.507595,50,222.983553
-1.801032,50,223.483816
-6.116755,50,223.983538
-1.731556,50,224.483673
-0.446053,50,224.983464
-5.253016,50,225.483582
-2.391725,50,225.983235
-0.960442,50,226.483602
-1.440163,50,226.999444
-2.266419,50,227.483287
-3.549651,50,227.98401
-4.199774,50,228.483394
-3.033575,50,228.984374
-4.206396,50,229.483622
-0.536826,50,229.98322
-5.51843,50,230.483515
-1.286816,50,230.983418
-1.662787,50,231.484023
-4.748196,50,231.983341
-1.229844,50,232.483789
-3.671876,50,232.983416
-1.714901,50,233.483287
-2.618331,50,233.983681
-2.783922,50,234.484227
-6.894614,50,234.983445
-1.269308,50,235.482473
-1.421804,50,235.983427
-3.830023,50,236.483704
-4.602932,50,236.983323
-2.631708,50,237.484229
-1.003504,50,237.98358
-0.83897,50,238.483537
-1.279929,50,238.983302
-0.303499,50,239.48337
-2.020113,50,239.983524
-4.254039,50,240.483935
-1.491837,50,240.983588
-1.303321,50,241.48365
-7.266386,50,241.983824
-2.040389,50,242.48318
-1.429929,50,242.983815
-5.73859,50,243.483201
-0.206966,50,243.983184
-6.76885,50,244.484102
-7.019485,50,244.983278
-1.113947,50,245.484103
-1.776921,50,245.983094
-3.085932,50,246.483447
-6.377519,50,246.983619
-1.018565,50,247.483928
-0.898398,50,247.983538
-6.227856,50,248.483899
-1.257826,50,248.982982
-0.588606,50,249.483598
-1.113822,50,249.983293
-4.620837,50,250.484118
-1.658974,50,250.984477
-1.838679,50,251.483361
-3.350211,50,251.983475
-4.193757,50,252.483888
-1.616531,50,252.983756
-0.550991,50,253.483812
-0.407604,50,253.983097
-3.35794,50,254.483941
-6.742069,50,254.983307
-0.585694,50,255.483217
-1.548245,50,255.984044
-2.635097,50,256.483991
-3.485959,50,256.983376
-2.85627,50,257.483636
-1.934979,50,257.984032
-2.685867,50,258.48337
-3.672615,50,258.983393
-5.295867,50,259.484006
-0.945357,50,259.983347
-0.260488,50,260.483992
-1.254198,50,260.983707
-5.811795,50,261.484169
-1.208964,50,261.984109
-3.768046,50,262.486758
-1.007354,50,262.983625
-2.826647,50,263.48416
-1.870154,50,263.983955
-4.557686,50,264.484124
-1.341341,50,264.983695
-2.115364,50,265.483376
-3.893486,50,265.983747
-6.414804,50,266.483905
-1.54999,50,266.983188
-3.376069,50,267.483775
-5.753207,50,267.98322
-1.031698,50,268.483409
-4.767193,50,268.983489
-2.214076,50,269.4836
-2.658618,50,269.983302
-3.355917,50,270.483382
-3.473323,50,270.983636
-0.685732,50,271.483789
-2.117437,50,271.98331
-3.094464,50,272.482877
-0.570808,50,272.983208
-4.489311,50,273.483304
-0.929481,50,273.98333
-2.182727,50,274.483436
-5.487315,50,274.983495
-1.034869,50,275.484012
-0.690885,50,275.983488
-1.507874,50,276.483634
-0.967595,50,276.983431
-0.815582,50,277.483265
-3.558552,50,277.983542
-1.176591,50,278.482762
-1.201123,50,278.983449
-0.298893,50,279.483667
-3.057609,50,279.983807
-0.169792,50,280.483251
-1.717297,50,280.9835
-3.903458,50,281.483624
-4.501054,50,281.983223
-2.778935,50,282.484068
-0.934945,50,282.983526
-7.629282,50,283.483327
-1.433543,50,283.983444
-1.338396,50,284.483454
-1.460443,50,284.983587
-4.358439,50,285.483538
-0.634397,50,285.983364
-0.390818,50,286.483724
-3.239664,50,286.983543
-3.791713,50,287.483269
-0.480148,50,287.983588
-0.198017,50,288.483617
-0.906218,50,288.983268
-0.899999,50,289.483761
-0.189715,50,289.983379
-1.739184,50,290.48326
-2.259977,50,290.98498
-2.887817,50,291.483551
-0.264276,50,291.983583
-6.108537,50,292.483352
-1.172452,50,292.983233
-2.919098,50,293.48298
-2.190497,50,293.983586
-1.211824,50,294.483414
-0.644167,50,294.983863
-4.926719,50,295.483718
-7.536116,50,295.983813
-1.70946,50,296.482918
-2.938915,50,296.984028
-4.883126,50,297.483274
-2.462577,50,297.983536
-1.558612,50,298.483814
-2.680438,50,298.983569
-5.88932,50,299.483367
-1.541899,50,299.983295
-2.403536,50,300.483365
-3.430443,50,300.983438
-3.06706,50,301.483306
-5.556224,50,301.982926
-3.01959,50,302.483375
-0.381618,50,302.98331
