#{"t_start": 1763457324.4299111, "env_id": "None"}
r,l,t
-6.782069,50,251.710541
-0.414494,50,252.210378
-1.85143,50,252.71065
-3.301802,50,253.210495
-3.621959,50,253.710784
-2.838342,50,254.219639
-2.429779,50,254.711903
-2.805867,50,255.210711
-6.721815,50,255.711653
-5.488667,50,256.2108
-0.901757,50,256.710538
-1.206062,50,257.211071
-1.354198,50,257.711554
-6.180995,50,258.212117
-0.951448,50,258.711665
-3.974046,50,259.21153
-0.927754,50,259.712042
-3.065847,50,260.21131
-2.178154,50,260.710851
-4.973286,50,261.211705
-0.667049,50,261.711701
-2.335364,50,262.211128
-4.307486,50,262.712378
-7.530005,50,263.211751
-2.06239,50,263.712202
-3.042469,50,264.212264
-6.009207,50,264.712615
-1.079698,50,265.210873
-5.992793,50,265.712094
-2.322476,50,266.211111
-3.133017,50,266.712339
-3.359517,50,267.212387
-3.625323,50,267.712855
-0.553687,50,268.212365
-0.473606,50,268.712698
-3.212464,50,269.211363
-0.652408,50,269.712451
-4.731311,50,270.212279
-0.476195,50,270.71147
-2.487526,50,271.210961
-5.488515,50,271.711983
-0.723932,50,272.211538
-0.894485,50,272.712111
-1.719874,50,273.212565
-1.371686,50,273.712057
-2.205982,50,274.211799
-3.634552,50,274.711015
-0.928826,50,275.212114
-1.055381,50,275.711879
-0.32688,50,276.211672
-3.198409,50,276.711994
-0.319392,50,277.212155
-2.025727,50,277.712672
-3.943458,50,278.210928
-4.796654,50,278.711898
-2.655734,50,279.211749
-0.765194,50,279.711958
-7.684882,50,280.212825
-1.731543,50,280.712805
-0.824454,50,281.212475
-1.254614,50,281.71191
-4.570039,50,282.211525
-0.579536,50,282.712189
-0.608418,50,283.212378
-3.388064,50,283.712096
-3.735714,50,284.212173
-0.529157,50,284.71222
-1.274281,50,285.211642
-0.916597,50,285.712106
-0.598837,50,286.211462
-1.716653,50,286.711691
-1.954784,50,287.212315
-2.403977,50,287.712749
-3.072217,50,288.211808
-0.555876,50,288.712408
-6.462137,50,289.212297
-1.168452,50,289.71171
-3.210698,50,290.211531
-2.468847,50,290.713003
-1.27409,50,291.212206
-0.845858,50,291.713133
-4.906719,50,292.212049
-7.537716,50,292.712861
-0.665133,50,293.213094
-3.970516,50,293.713012
-4.809926,50,294.2131
-2.744177,50,294.712394
-1.900211,50,295.212891
-2.628438,50,295.711736
-5.99812,50,296.213253
-1.642835,50,296.713163
-2.442336,50,297.213406
-3.026043,50,297.713156
-3.22266,50,298.21253
-4.063824,50,298.714078
-2.99559,50,299.212949
-0.708008,50,299.712605
-4.677056,50,300.212558
-5.722442,50,300.713326
-1.174327,50,301.212745
-1.281154,50,301.712872
-4.518383,50,302.212607
-1.511303,50,302.713394
-0.873029,50,303.214298
-0.710758,50,303.713085
-3.595107,50,304.21282
-3.683548,50,304.71332
-2.378519,50,305.213272
-1.739948,50,305.713178
-0.92259,50,306.213513
-0.56648,50,306.713635
-6.02509,50,307.213709
-1.571708,50,307.713299
-0.844879,50,308.212967
-5.589121,50,308.713063
-1.337845,50,309.212893
-2.022567,50,309.713243
-2.679275,50,310.213625
-1.056464,50,310.713916
-1.103637,50,311.213001
-5.594493,50,311.713329
-3.138727,50,312.214554
-4.194704,50,312.713784
-0.624075,50,313.213795
-3.607767,50,313.713777
-7.064125,50,314.213816
-4.791859,50,314.71399
-2.616715,50,315.213879
-1.943125,50,315.714003
-0.59951,50,316.21395
-2.441408,50,316.713902
-2.943179,50,317.214003
-5.907375,50,317.713072
-5.35321,50,318.213888
-3.763734,50,318.713052
-5.290188,50,319.213379
-1.081085,50,319.713833
-4.56475,50,320.214022
-1.383739,50,320.713885
-0.657032,50,321.213554
-3.853827,50,321.713651
-4.586272,50,322.214032
-0.565607,50,322.713601
-0.111717,50,323.214395
-1.592509,50,323.713868
-0.981986,50,324.214125
-5.480403,50,324.713652
-3.571148,50,325.214881
-0.805061,50,325.714323
-0.79739,50,326.213694
-1.20879,50,326.713631
-0.747379,50,327.213613
-6.086754,50,327.713725
-4.355881,50,328.213875
-1.96593,50,328.714192
-0.357322,50,329.213591
-2.90101,50,329.714441
-4.70901,50,330.214318
-0.810017,50,330.714135
-1.680372,50,331.214327
-1.830459,50,331.714703
-4.528735,50,332.233813
-0.733604,50,332.714644
-2.857834,50,333.213905
-6.012645,50,333.71472
-7.04822,50,334.213765
-4.401827,50,334.714449
-0.937303,50,335.213628
-0.810481,50,335.71455
-0.785643,50,336.213746
-4.928522,50,336.715024
-1.200222,50,337.214985
-1.129866,50,337.714455
-7.339883,50,338.2137
-0.884276,50,338.714241
-3.143246,50,339.214047
-4.870015,50,339.714165
-3.758554,50,340.214529
-0.629797,50,340.715067
-0.642459,50,341.214037
-2.185405,50,341.714049
-0.425753,50,342.21409
-5.07281,50,342.714116
-2.047853,50,343.215042
-1.845762,50,343.714919
-1.71424,50,344.213978
-1.353781,50,344.713906
-1.706577,50,345.215166
-7.060325,50,345.713983
-1.862755,50,346.215013
-4.818866,50,346.715156
-3.4282,50,347.214045
-2.276759,50,347.714234
-0.864477,50,348.217999
-6.869,50,348.714234
-1.896266,50,349.214163
-1.028185,50,349.715224
-2.895007,50,350.214989
-0.156256,50,350.714136
-2.809628,50,351.215576
-2.203866,50,351.714093
-3.583232,50,352.216071
-0.777444,50,352.71553
-7.561457,50,353.215432
-2.091328,50,353.715674
-0.543174,50,354.215518
-5.726609,50,354.714241
-3.537389,50,355.215359
-7.217844,50,355.71392
-1.596115,50,356.215697
-0.453161,50,356.715432
-8.053486,50,357.215414
-2.218479,50,357.715002
-2.710595,50,358.215346
-0.585467,50,358.715283
-0.316151,50,359.21408
-2.275232,50,359.715381
-1.182388,50,360.214115
-1.678712,50,360.714761
-1.654613,50,361.215204
